,title,link,time
39,SEMI “지난해 세계 반도체 장비투자액 7% 감소” - 조선비즈,https://biz.chosun.com/it-science/ict/2024/04/16/FDCQWO4EWJDKXJA4AKGGJZB5HM/&sa=U&ved=2ahUKEwjNzKTimcaFAxV7nq8BHfEICuA4HhDF9AF6BAgIEAI&usg=AOvVaw3r6M5M3cLSIvdn2nxFwdrU,2시간 전
40,"우정사업본부, 한국의 옛 건축 ‘정자’ 기념우표 발행 - 조선비즈",https://biz.chosun.com/it-science/ict/2024/04/16/NLFLPL7UYNCN3LQUMAGLYIED3I/&sa=U&ved=2ahUKEwjWlYXkmcaFAxX2avUHHV5OAYs4KBDF9AF6BAgCEAI&usg=AOvVaw0MYMseM4lg_orTuAE39kH3,4시간 전
41,"감성커피, 평촌에 IT 특화형 스마트 카페 선보여 - 조선비즈",https://biz.chosun.com/distribution/living/2024/04/16/3OFRY4WCHJHLXEBDW47GECS2DA/&sa=U&ved=2ahUKEwjWlYXkmcaFAxX2avUHHV5OAYs4KBDF9AF6BAgJEAI&usg=AOvVaw09_uyoK_x8_2teHgc6E1IS,7시간 전
42,"'30년된 가전 제품도 똑똑하게'…LG전자, '씽큐' 앱 업그레이드 - 조선비즈",https://biz.chosun.com/it-science/ict/2024/04/16/6H4UB244YRHMRPPW3ODWLED34M/&sa=U&ved=2ahUKEwjWlYXkmcaFAxX2avUHHV5OAYs4KBDF9AF6BAgAEAI&usg=AOvVaw1BygNreKR5h02XKNra0gcb,2시간 전
43,"김창한 크래프톤 대표, 인도 젊은 리더들과 게임 산업 발전과 AI 기술 전략 논의",https://www.newsquest.co.kr/news/articleView.html%3Fidxno%3D221747&sa=U&ved=2ahUKEwjWlYXkmcaFAxX2avUHHV5OAYs4KBDF9AF6BAgFEAI&usg=AOvVaw38Z5BPWDYZxNDqko5282Fr,3시간 전
44,"삼성전자, 나이스웨더 협업 한정판 굿즈 공개",http://www.enewstoday.co.kr/news/articleView.html%3Fidxno%3D2115170&sa=U&ved=2ahUKEwjWlYXkmcaFAxX2avUHHV5OAYs4KBDF9AF6BAgGEAI&usg=AOvVaw1HQrzEaDxYb7y2VnvdNO3g,5시간 전
45,"스마일게이트, '인디고 2024' 개최…'쉐이프 오브 드림' 대상 수상",http://www.1conomynews.co.kr/news/articleView.html%3Fidxno%3D28383&sa=U&ved=2ahUKEwjWlYXkmcaFAxX2avUHHV5OAYs4KBDF9AF6BAgBEAI&usg=AOvVaw3Zo9ntvvs4aDAbD-Y70XaN,6시간 전
46,"서린씨앤아이, PC메모리 신제품 ‘제타 R5’ 시리즈 출시",http://www.enewstoday.co.kr/news/articleView.html%3Fidxno%3D2115214&sa=U&ved=2ahUKEwjWlYXkmcaFAxX2avUHHV5OAYs4KBDF9AF6BAgEEAI&usg=AOvVaw2pSELlNHnBBflYnTk3JLdU,3시간 전
47,다이노즈 ‘엄마도 작가가 될 수 있다’ 북토크 개최,https://www.mk.co.kr/news/it/10991332&sa=U&ved=2ahUKEwjWlYXkmcaFAxX2avUHHV5OAYs4KBDF9AF6BAgHEAI&usg=AOvVaw0S38BZikPENTvqv4nI_i6b,7시간 전
48,"KT, WIS 2024서 차세대 AICT 혁신 기술 공개",http://www.00news.co.kr/news/articleView.html%3Fidxno%3D84954&sa=U&ved=2ahUKEwjWlYXkmcaFAxX2avUHHV5OAYs4KBDF9AF6BAgDEAI&usg=AOvVaw1gfDCzbSXywAUmcVp-wmlh,6시간 전
49,"업스테이지, 1천억원 규모 시리즈 B 투자 유치",http://www.enewstoday.co.kr/news/articleView.html%3Fidxno%3D2115166&sa=U&ved=2ahUKEwjWlYXkmcaFAxX2avUHHV5OAYs4KBDF9AF6BAgIEAI&usg=AOvVaw3qcTuNRkeT1wRuyO2qNbRx,5시간 전
50,"업스테이지, 1천억원 규모 시리즈 B 투자 유치",http://www.enewstoday.co.kr/news/articleView.html%3Fidxno%3D2115166&sa=U&ved=2ahUKEwjf7-PlmcaFAxVPZ_UHHUnPDQQ4MhDF9AF6BAgBEAI&usg=AOvVaw25XV8WibSQw32rvfaO5Id-,5시간 전
51,"박용현 넥슨게임즈 대표, 넥슨코리아 개발 부사장 겸임…신작 총괄 - 조선비즈",https://biz.chosun.com/it-science/ict/2024/04/15/CZWZO2CD4ZAIVNIJLYQ2SR3FUY/&sa=U&ved=2ahUKEwjf7-PlmcaFAxVPZ_UHHUnPDQQ4MhDF9AF6BAgJEAI&usg=AOvVaw0GNK1XvYFw8edHFG-N7oBi,23시간 전
52,사상 최대 규모의 ‘3차원 우주 지도’ 공개…“우주의 기원까지 밝힐 것”,https://www.donga.com/news/It/article/all/20240415/124486947/1&sa=U&ved=2ahUKEwjf7-PlmcaFAxVPZ_UHHUnPDQQ4MhDF9AF6BAgIEAI&usg=AOvVaw1NFBFXiZiuoOCJNuNPHPp6,24시간 전
53,"이은지 GIST 교수, 한국고분자학회 ‘중견학술상’ 수상",http://www.enewstoday.co.kr/news/articleView.html%3Fidxno%3D2115113&sa=U&ved=2ahUKEwjf7-PlmcaFAxVPZ_UHHUnPDQQ4MhDF9AF6BAgCEAI&usg=AOvVaw2lKpCablgGYvd9-_jKoobc,6시간 전
54,'이건희 디자인 선언' 19년 만에 ... 밀라노서 재현된 '삼성의 디자인 혁명',https://www.imsn.kr/news/articleView.html%3Fidxno%3D11874&sa=U&ved=2ahUKEwjf7-PlmcaFAxVPZ_UHHUnPDQQ4MhDF9AF6BAgFEAI&usg=AOvVaw2Ngm--Z7GQ3GMVmPJ4Iov2,7시간 전
55,"방심위, 윤 대통령 발언 자막 논란 MBC에 과징금 3000만원 의결 - 조선비즈",https://biz.chosun.com/it-science/ict/2024/04/15/BM7XHVG3RZFRLCEGNSRWJBB4PU/&sa=U&ved=2ahUKEwjf7-PlmcaFAxVPZ_UHHUnPDQQ4MhDF9AF6BAgHEAI&usg=AOvVaw2Hz2C7otFXfZ90HKs-Y7sx,23시간 전
56,"보령컨슈머헬스케어, ‘보령 콜린 이노시톨 맥’ 출시",http://www.enewstoday.co.kr/news/articleView.html%3Fidxno%3D2115010&sa=U&ved=2ahUKEwjf7-PlmcaFAxVPZ_UHHUnPDQQ4MhDF9AF6BAgGEAI&usg=AOvVaw1rpErw6koDTYHiqlSKzlOU,6시간 전
57,"한국엡손, 인천 송일초에 프린팅 솔루션 도입",http://www.enewstoday.co.kr/news/articleView.html%3Fidxno%3D2114959&sa=U&ved=2ahUKEwjf7-PlmcaFAxVPZ_UHHUnPDQQ4MhDF9AF6BAgEEAI&usg=AOvVaw2t4qutR0hKfwX3mbUtP7GR,7시간 전
58,메디톡스 “경기도 학생 미래 과학 인재 육성 앞장”,http://www.enewstoday.co.kr/news/articleView.html%3Fidxno%3D2114963&sa=U&ved=2ahUKEwjf7-PlmcaFAxVPZ_UHHUnPDQQ4MhDF9AF6BAgAEAI&usg=AOvVaw29wjTaeeRN_kHgU6EvzUbP,7시간 전
59,3월 ICT 수출 19.4%↑…3개월 연속 두 자릿수 증가,https://www.newstong.co.kr/view3.aspx%3Fseq%3D12597583%26allSeq%3D9%26txtSearch%3D%26cate%3D%26cnt%3D%26subCate%3D%26order%3Ddefault%26oid%3D951034%26newsNo%3D75&sa=U&ved=2ahUKEwjf7-PlmcaFAxVPZ_UHHUnPDQQ4MhDF9AF6BAgDEAI&usg=AOvVaw0IcPKA38_JRSQqCkuuihQe,9시간 전
